contrast,family,quantity,stratum,seed,parent,n_rows,delta_parent_mean
B_standard_random_flip minus A_standard_random_flip,paired_contrast,atomic_joint,other_edit,806,483,1,0.0
B_standard_random_flip minus A_standard_random_flip,paired_contrast,atomic_joint,other_edit,806,490,1,0.0
B_standard_random_flip minus A_standard_random_flip,paired_contrast,atomic_joint,other_edit,806,491,1,0.0
B_standard_random_flip minus A_standard_random_flip,paired_contrast,atomic_joint,other_edit,806,496,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,3,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,4,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,15,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,28,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,32,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,33,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,39,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,41,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,45,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,48,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,50,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,65,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,71,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,75,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,83,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,90,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,91,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,95,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,106,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,121,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,132,4,0.75
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,133,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,134,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,135,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,147,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,157,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,162,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,169,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,171,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,172,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,184,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,187,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,188,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,194,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,197,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,201,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,205,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,206,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,221,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,228,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,230,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,237,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,243,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,248,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,260,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,262,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,264,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,265,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,273,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,276,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,278,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,290,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,292,4,0.75
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,298,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,305,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,309,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,310,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,327,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,336,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,344,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,355,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,365,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,375,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,377,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,380,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,399,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,401,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,408,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,418,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,431,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,443,2,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,454,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,457,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,458,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,461,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,463,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,470,4,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,471,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,472,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,475,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,479,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,483,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,490,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,491,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,803,496,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,3,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,4,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,15,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,28,4,0.75
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,32,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,33,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,39,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,41,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,45,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,48,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,50,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,65,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,71,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,75,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,83,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,90,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,91,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,95,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,106,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,121,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,132,4,0.75
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,133,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,134,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,135,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,147,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,157,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,162,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,169,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,171,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,172,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,184,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,187,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,188,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,194,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,197,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,201,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,205,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,206,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,221,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,228,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,230,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,237,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,243,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,248,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,260,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,262,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,264,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,265,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,273,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,276,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,278,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,290,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,292,4,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,298,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,305,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,309,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,310,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,327,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,336,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,344,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,355,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,365,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,375,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,377,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,380,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,399,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,401,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,408,2,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,418,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,431,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,443,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,454,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,457,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,458,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,461,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,463,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,470,4,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,471,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,472,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,475,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,479,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,483,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,490,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,491,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,805,496,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,3,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,4,4,0.75
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,15,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,28,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,32,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,33,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,39,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,41,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,45,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,48,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,50,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,65,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,71,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,75,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,83,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,90,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,91,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,95,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,106,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,121,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,132,4,0.75
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,133,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,134,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,135,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,147,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,157,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,162,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,169,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,171,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,172,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,184,1,-1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,187,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,188,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,194,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,197,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,201,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,205,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,206,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,221,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,228,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,230,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,237,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,243,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,248,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,260,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,262,1,-1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,264,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,265,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,273,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,276,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,278,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,290,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,292,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,298,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,305,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,309,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,310,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,327,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,336,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,344,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,355,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,365,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,375,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,377,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,380,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,399,3,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,401,4,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,408,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,418,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,431,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,443,2,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,454,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,457,2,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,458,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,461,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,463,3,0.333333
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,470,4,0.25
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,471,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,472,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,475,2,0.5
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,479,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,483,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,490,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,491,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,J,all,806,496,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,3,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,4,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,15,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,28,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,32,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,33,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,39,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,41,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,45,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,48,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,50,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,65,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,71,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,75,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,83,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,90,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,91,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,95,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,106,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,121,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,132,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,133,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,134,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,135,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,147,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,157,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,162,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,169,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,171,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,172,4,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,184,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,187,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,188,2,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,194,1,1.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,197,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,201,1,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,205,3,0.0
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,206,3,0.666667
B_lowstride_random_flip minus A_lowstride_random_flip,paired_contrast,atomic_joint,all,803,221,1,1.0
